name,frequency_hz,duration_ms,n,echo_median,echo_iqr_lo,echo_iqr_hi,echo_min,echo_max,ambient_median,ambient_iqr_lo,ambient_iqr_hi,ambient_min,ambient_max
hello,2000,150,30,90.3,90.1,90.3,89.9,90.5,39.0,38.5,39.4,37.0,71.9
hi,3000,100,30,67.3,67.1,67.5,64.7,67.6,38.9,38.5,39.7,37.3,67.0
hey,1500,300,29,72.0,72.0,72.1,71.8,72.5,38.9,38.2,39.8,37.7,71.9
ping,4000,80,28,85.1,84.9,85.2,84.8,85.4,39.0,38.7,39.5,37.6,72.1
hum,500,400,29,63.8,63.8,63.8,63.6,64.1,38.9,38.1,39.4,37.4,55.8
call,2000,600,29,90.3,90.1,90.4,89.9,90.5,38.9,38.4,39.5,37.5,90.3
alert,3500,200,30,74.8,74.7,74.9,74.6,75.1,39.1,38.7,39.5,37.8,74.8
chirp,2500,100,29,62.8,62.6,62.9,62.4,63.1,39.0,38.5,39.3,37.0,46.4
low,800,250,28,69.9,69.8,70.0,69.6,70.1,38.8,38.5,39.1,37.4,90.0
long_hum,1500,800,29,72.1,72.0,72.1,71.9,72.7,38.8,38.3,39.1,37.4,72.1
