kind,name,effect_id,n,peak_median,peak_iqr_lo,peak_iqr_hi,rms_median,floor_rms_median,snr_median,snr_iqr_lo,snr_iqr_hi,snr_min,snr_max,felt_rate
haptic,tap,1,29,8.284,5.816,11.072,0.754,0.043,17.91,13.33,28.09,9.16,42.86,1.000
haptic,soft_tap,7,28,12.445,6.014,17.569,1.238,0.043,28.70,14.98,32.99,10.85,45.93,1.000
haptic,double_tap,10,28,13.153,8.448,17.910,1.484,0.042,34.58,23.48,48.95,15.18,57.49,1.000
haptic,triple_tap,14,30,15.888,12.113,17.767,2.112,0.042,49.80,39.41,58.01,26.73,70.11,1.000
haptic,buzz,47,28,17.841,15.673,18.170,2.230,0.042,50.75,44.68,58.08,26.49,78.45,1.000
haptic,hum,52,30,13.395,10.229,15.412,1.464,0.043,33.53,27.37,40.05,19.00,54.13,1.000
haptic,long_buzz,49,28,13.545,10.018,17.581,1.471,0.044,33.92,26.61,39.37,15.86,61.06,1.000
haptic,heartbeat,10,29,13.960,11.114,17.770,1.451,0.044,31.35,23.10,41.42,11.06,66.76,1.000
haptic,knock,14,29,17.787,15.468,18.152,2.057,0.042,49.74,38.40,54.26,21.55,76.74,1.000
haptic,hello,24,28,2.979,2.376,4.504,0.315,0.042,7.30,5.75,10.84,3.15,31.32,1.000
haptic,alert,58,27,17.768,17.216,19.434,3.337,0.042,81.29,73.67,93.06,53.00,109.69,1.000
baseline,baseline,0,30,0.131,0.121,0.148,0.043,0.042,1.05,1.00,1.11,0.87,1.19,0.000
